country,"gni per capita, atlas method (current us$)","immunization, hepb3 (% of one-year-old children)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",undernourished
botswana,6510,95,63.4,43.1,78.5,96.2,92.3,50,84,14.3,33.6,0,26.4
brazil,9850,96,82.8,51.5,88,98.1,87,100,120,2.1,13.3,0.2,2.5
bulgaria,7220,92,86,83.7,86.8,99.4,99,90,410,0,0,0,3.6
burkina faso,660,91,19.7,6.7,50.4,82.3,75.8,100,98,55.1,74.7,9.1,20
cabo verde,3290,93,72.2,54.3,81.6,91.7,87.3,100,60,23.9,40.1,15.4,12.6
cambodia,1070,89,42.4,30.5,88.1,75.5,69.1,50,90,47.5,59.9,0,16.4
cameroon,1330,84,45.8,26.8,61.8,75.6,52.7,100,98,5.8,11.7,0.8,9.9
canada,47500,55,99.8,99,100,99.8,99,34,105,,,0,2.5
central african republic,320,47,21.8,7.2,43.6,68.5,54.4,50,98,22.3,34.2,4.4,59.6
chad,880,55,12.1,6.5,31.4,50.8,44.8,50,98,64.4,79,13.9,37.5
chile,14060,97,99.1,90.9,100,99,93.3,100,126,0.1,1.1,0,2.7
china,7820,99,76.5,63.7,86.6,95.5,93,100,128,0.7,1.6,0,8.5
colombia,7130,91,81.1,67.9,85.2,91.4,73.8,100,98,4.4,14.1,1.5,4.8
congo,410,81,28.7,28.7,28.5,52.4,31.2,67,98,10.2,15.8,2.5,40.3
costa rica,10210,92,94.5,92.3,95.2,97.8,91.9,100,120,0.1,0,0.2,4.8
cote d'ivoire,1410,83,22.5,10.3,32.8,81.9,68.8,100,98,26.4,50.9,5.6,19
croatia,12690,94,97,95.8,97.8,99.6,99.7,100,208,0.4,0.6,0.3,2.5
cuba,6840,96,93.2,89.1,94.4,94.9,89.8,,,0.6,1.6,0.4,2.5
cyprus,25930,97,100,100,100,100,100,72,126,0,0,0,5.6
denmark,58590,,99.6,99.6,99.6,100,100,50,126,0,0,0,2.5
djibouti,2550,84,47.4,5.1,59.8,90,64.7,100,98,20,75.6,3.7,18.9
dominica,6760,98,,,,,,60,84,,,,6.2
dominican republic,6130,81,84,75.7,86.2,84.7,81.9,100,84,2.8,5.9,2,9.5
ecuador,6010,78,84.7,80.7,87,86.9,75.5,100,84,3.9,10.8,0,7.9
egypt,3340,93,94.7,93.1,96.8,99.4,99,100,90,0,0,0,4.5
el salvador,3940,91,75,60,82.4,93.8,86.5,100,84,2.8,6.5,0.9,9
estonia,18480,91,97.2,96.6,97.5,99.6,99,100,140,0,0,0,2.9
ethiopia,590,86,28,28.2,27.2,57.3,48.6,100,90,28.6,34.1,5.8,20.6
fiji,4800,99,91.1,88.4,93.4,95.7,91.2,100,84,0,0,0,3.7
finland,46360,,97.6,88,99.4,100,100,58,147,0,0,0,2.5
france,40580,83,98.7,98.9,98.6,100,100,73,112,0,0,0,2.5
french polynesia,15770,,98.5,98.5,98.5,100,100,,,1.4,1.4,1.4,4.2
gabon,9210,80,41.9,31.5,43.4,93.2,66.7,100,98,1.8,3.9,1.5,10.5
gambia,13000,97,58.9,55,61.5,90.2,84.4,100,180,1.8,4.3,0.1,10.2
georgia,4160,94,86.3,75.9,95.2,100,100,100,183,1.1,2.3,0,7.9
germany,45790,88,99.2,99,99.3,100,100,100,98,0,0,0,2.5
ghana,1480,88,14.9,8.6,20.2,88.7,84,100,84,19.1,33.7,6.8,5.5
greece,20290,96,99,98.1,99.2,100,100,100,119,0,0,0,2.5
grenada,8430,92,98,98.3,97.5,96.6,95.3,88,90,1,0.6,1.7,
guatemala,3590,74,63.9,49.3,77.5,92.8,86.8,100,84,5.3,8.9,1.9,15.2
