"gni per capita, atlas method (current us$)","immunization, hepb3 (% of one-year-old children)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",undernourished,country
15000.0,94.0,92.4,82.8,97.2,96.6,90.4,100.0,126.0,,,,2.5,lithuania
77000.0,99.0,97.6,98.5,97.5,100.0,100.0,100.0,112.0,0.0,0.0,0.0,2.5,luxembourg
5140.0,92.0,90.9,82.6,97.2,99.4,98.9,100.0,270.0,0.7,1.6,0.0,3.2,north macedonia
420.0,69.0,12.0,8.7,18.0,51.5,35.3,100.0,98.0,39.8,51.7,17.9,44.4,madagascar
350.0,88.0,41.0,39.8,47.3,90.2,89.1,100.0,56.0,4.2,4.7,1.3,17.5,malawi
10570.0,99.0,96.0,95.9,96.1,98.2,93.0,100.0,60.0,0.0,0.0,0.0,2.5,malaysia
6670.0,99.0,97.9,98.3,97.5,98.6,97.9,100.0,60.0,0.0,0.0,0.0,10.3,maldives
790.0,68.0,24.7,16.1,37.5,77.0,64.1,100.0,98.0,9.5,14.5,2.0,6.3,mali
,95.0,100.0,100.0,100.0,100.0,100.0,82.0,126.0,0.0,0.0,0.0,2.5,malta
,73.0,40.0,13.8,57.5,57.9,57.1,100.0,98.0,34.6,69.0,11.6,10.4,mauritania
9610.0,97.0,93.1,92.6,93.9,99.9,99.8,100.0,84.0,0.1,0.2,0.0,6.5,mauritius
9710.0,82.0,85.2,74.5,88.0,96.1,92.1,100.0,84.0,0.8,4.0,0.0,3.6,mexico
2220.0,88.0,76.4,67.1,87.8,88.4,81.4,100.0,126.0,0.1,0.2,0.0,,moldova
3830.0,99.0,59.7,42.6,66.4,64.4,59.2,100.0,120.0,8.8,27.8,1.4,13.4,mongolia
7240.0,82.0,95.9,92.2,98.0,99.7,99.2,100.0,45.0,0.1,0.2,0.0,2.5,montenegro
3040.0,99.0,76.7,65.5,84.1,85.4,65.3,67.0,98.0,9.1,22.8,0.0,3.4,morocco
580.0,80.0,20.5,10.1,42.4,51.1,37.0,100.0,60.0,39.5,52.0,13.1,27.9,mozambique
,75.0,79.6,77.1,84.3,80.6,74.4,70.0,98.0,4.4,6.4,0.5,10.6,myanmar
5210.0,92.0,34.4,16.8,54.5,91.0,84.6,100.0,84.0,48.5,73.2,20.3,27.3,namibia
