covid_fatality_rate,continent,country,age_dependency_ratio,diabetes_prevalence,gni_per_capita_atlas_method,Good_maternal_and_infant_practices,Bad_hygiene_practices,rural_populations,fat_animal_products,good_fat_sources,fat_cereals__excluding_beer,obesity,undernourished,unhealthy_kcals,healthy_kcals,protein_alcoholic_beverages,protein_animal_fats,protein_milk__excluding_butter,protein_oilcrops,protein_stimulants,protein_sugar__sweeteners,protein_vegetable_oils,gni_real,comparative_fatality_rate,population_ages_0014,population_ages_65_and_above,fat_cereals_excluding_beer,fat_eggs,fat_fish_seafood,fat_fruits_excluding_wine,fat_meat,fat_miscellaneous,fat_milk_excluding_butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy_roots,fat_stimulants,fat_treenuts,fat_vegetable_oils,fat_vegetables,improved_water_source_of_population_with_access
1.48,africa,benin,81.98219189,0.8,860,54.29351648,39.1,56.05,6.1742,35.3169,4.6952,8.2,10.1,6.8784,25.2632,0.7448,0.0078,1.094,3.2508,0.0233,0,0,low_gni,low_fatality_rate,42.15840157,2.891166764,4.6952,0.2064,0.8599,0.1978,3.2849,0.0258,1.2469,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,1.9176,24.8775,0.3612,77.9
183.5015509,south america,bolivia,63.69471812,7.5,3080,72.81099766,10.55,31.488,30.4177,14.8252,2.7296,18.7,17.1,23.2583,27.4639,0.1826,0.0219,3.2143,0.5114,0.4894,0,0.0146,low_gni,high_fatality_rate,32.44523742,6.465436578,2.7296,1.5174,0.1831,0.5407,21.1476,0.0436,3.2703,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0.7413,12.3485,0.1919,90
352.7698813,europe,bosnia and herzegovina,40.73018063,9.9,4680,1716.278656,0,60.233,24.6478,16.2693,3.6588,19.4,2.5,18.9995,28.5299,0.5332,0.0633,9.3808,0.6863,0.9449,0.0053,0.0158,mid_gni,high_fatality_rate,13.49808,15.44395678,3.6588,0.8354,0.3049,0.5976,9.6957,0.0915,11.2629,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0.9574,13.2996,0.7866,99.9
108.0228156,africa,botswana,55.27026814,5.6,6510,88.79371973,7.15,42.556,16.9634,24.2543,7.183,16.1,26.4,17.5,29.7436,0.3682,0.1534,9.3971,1.5572,0.3068,0,0.0153,mid_gni,high_fatality_rate,31.9980906,3.598079103,7.183,0.2697,0.3622,0.1696,3.4759,0.1927,8.5241,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0.1541,22.3815,0.185,96.2
297.975158,south america,brazil,44.65985467,10.4,9850,328.6700221,1.15,14.313,24.8515,23.4106,1.1278,22.3,2.5,28.1206,24.3035,0.2807,0.1266,7.0053,0.4788,0.6879,0.0165,0.022,mid_gni,high_fatality_rate,23.02764602,7.844674968,1.1278,0.7706,0.1886,0.2528,14.292,0,5.1654,0.0763,1.7097,0.2528,0.008,0.1204,0.1164,0.1766,21.2153,0.1204,98.1
431.2487993,europe,bulgaria,51.9098808,5.9,7220,1574.829045,0,26.052,27.1456,20.1603,1.8485,27.4,3.6,24.9338,26.1007,0.6659,0.24,8.7833,0.7619,0.588,0,0.024,mid_gni,high_fatality_rate,14.14401576,20.02747774,1.8485,1.2201,0.3404,0.2723,9.3523,0.0262,7.9698,0.2356,1.6547,0.0471,0.6179,0.0367,0.1885,0.3404,17.5787,0.2461,99.4
1.76,africa,burkina faso,92.17971533,2.2,660,52.74253183,32.1,70.141,7.2367,31.8195,10.5524,4.5,20,8.2367,36.4221,1.366,0.0066,1.7666,5.7595,0.0328,0,0,low_gni,low_fatality_rate,45.57206429,2.393307695,10.5524,0.4061,0.3692,0.0443,3.5741,0.0148,2.1636,0.1255,11.9406,0.5391,0.096,0.0369,0.0222,0.2658,19.1774,0.0665,82.3
35.74956852,asia,myanmar,49.05411871,6.8,13410.2027,92.47119266,2.45,65.902,26.047,20.9714,3.8192,5.7,10.6,20.9181,31.4144,0.0161,0.0911,3.2248,1.6285,0.3107,0.2625,0,high_gni,low_fatality_rate,27.55060128,5.359672609,3.8192,0.9251,2.5441,0.275,18.1335,0.0375,1.2814,0.1563,5.1194,0.6938,0.5313,0.0625,0.025,0.2688,12.7453,0.2938,80.6
67.62702161,oceania,cabo verde,52.04818784,2.3,3290,255.2028207,19.65,34.474,21.9578,21.1549,5.1318,10.6,12.6,16.839,31.2922,0.3173,0.0649,6.3172,0.3534,0.2885,0,0.0361,low_gni,low_fatality_rate,29.65060653,4.580770103,5.1318,0.8468,0.5256,0.1898,9.9204,0.1679,6.2851,0.0803,1.4819,0.4526,0.9709,0.0949,0.4161,0.1752,18.6656,0.3066,91.7
19.33508492,asia,cambodia,55.56991959,3,1070,71.26824324,23.75,79.277,18.851,24.9315,9.4179,3.5,16.4,11.4234,37.1209,0.4817,0.0153,0.3441,4.5722,0.0535,0,0,low_gni,low_fatality_rate,31.60227833,4.117942991,9.4179,0.5639,4.8461,0.2438,11.7799,0.1372,0.6248,0.1372,8.2902,0.2743,0.5029,0.3657,0.061,0.3048,11.2313,0.2591,75.5
7.93,africa,cameroon,84.2579892,6.5,1330,48.74709815,3.3,45.619,6.3264,34.5246,6.9796,9.5,9.9,6.2936,30.0923,0.5688,0.0144,0.8063,3.8301,0.1008,0,0.0072,low_gni,low_fatality_rate,42.52268628,3.205582856,6.9796,0.0746,0.9051,0.7931,3.3685,0.028,1.1197,0.084,9.7509,0.8491,0.7465,0.5319,0.1213,0.1026,23.2155,0.5505,75.6
85.26774714,north america,canada,47.2924045,7.4,47500,2209.577832,4.720860927,18.172,23.1663,24.6907,1.544,31.3,2.5,25.2684,24.4237,0.3458,0.6868,5.7905,2.416,0.6374,0.0099,0.084,high_gni,high_fatality_rate,15.97205804,16.13577846,1.544,1.2437,0.4244,0.4244,7.8211,0.062,3.8812,0.0065,2.36,0.1991,0.0979,0.0588,0.1795,1.211,20.4733,0.222,99.8
2.06,africa,central african republic,75.15610362,6.3,320,43.04208567,13.35,59.963,18.5453,27.1448,2.7645,6.3,59.6,14.6147,16.406,0.2045,0.0969,1.6363,3.6064,0.3876,0.0431,0,low_gni,low_fatality_rate,39.05261216,3.855457878,2.7645,0.1122,0.5509,0.4998,12.9144,0.0102,1.7342,0.3468,7.0183,0.4794,0.0102,1.0609,0.0408,0,19.4838,0.0918,68.5
1.29,africa,chad,100.6866607,5.7,880,39.6297004,39.15,77.529,16.8564,24.9737,7.986,4.8,37.5,12.1828,30.5171,0.0567,0.0425,2.7723,6.6931,0.0142,0,0,low_gni,low_fatality_rate,47.72033739,2.450740418,7.986,0.0701,0.648,0.0701,7.8546,0.0088,4.4308,0.7268,16.7863,0.5342,0,0.1926,0.0263,0,7.5131,0.0263,50.8
