country,"gni per capita, atlas method (current us$)","immunization, hib3 (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",confirmed,deaths,recovered,active,mortality_rate_covid
benin,860,79,19.7,7.3,35.6,100,98,53.3,75.6,24.9,0.034343517,0.000450487,0.029183389,0.00470964,1.311709993
bolivia,3080,99,50.3,27.5,60.8,100,90,17.1,45.6,4,1.952445629,0.092435313,1.438614287,0.421396029,4.734334824
bosnia and herzegovina,4680,78,94.8,92,98.9,60,365,0,0,0,3.76208473,0.145534898,2.960316977,0.656232856,3.868464118
botswana,6510,95,63.4,43.1,78.5,50,84,14.3,33.6,0,1.014372033,0.007034959,0.844799309,0.162537764,0.693528486
brazil,9850,96,82.8,51.5,88,100,120,2.1,13.3,0.2,4.460165146,0.108602912,3.979468585,0.372093649,2.434952708
bulgaria,7220,87,86,83.7,86.8,90,410,0,0,0,3.227255666,0.134416053,2.788956258,0.303883355,4.165026482
burkina faso,660,91,19.7,6.7,50.4,100,98,55.1,74.7,9.1,0.053709994,0.000641056,0.048031383,0.005037554,1.19355126
cabo verde,3290,93,72.2,54.3,81.6,100,60,23.9,40.1,15.4,2.586330935,0.024280576,2.461151079,0.100899281,0.938803894
cambodia,1070,89,42.4,30.5,88.1,50,90,47.5,59.9,0,0.003058657,0,0.002929599,0.000129057,0
cameroon,1330,84,45.8,26.8,61.8,100,98,5.8,11.7,0.8,0.118031431,0.001782089,0.110914354,0.005334988,1.509842645
canada,47500,91,99.8,99,100,34,105,0,0,0,2.109960723,0.054202671,1.909848128,,2.56889478
central african republic,320,47,21.8,7.2,43.6,50,98,22.3,34.2,4.4,0.103291925,0.001304348,0.101138716,0.000848861,1.262778112
chad,880,55,12.1,6.5,31.4,50,98,64.4,79,13.9,0.020578302,0.000740653,0.016880962,0.002956687,3.599193781
chile,14060,97,99.1,90.9,100,100,126,0.1,1.1,0,3.84222907,0.097046739,3.626194145,,2.525792627
china,7820,87,76.5,63.7,86.6,100,128,0.7,1.6,0,0.007155524,0.000343843,0.006685183,0.000126499,4.805277634
colombia,7130,91,81.1,67.9,85.2,100,98,4.4,14.1,1.5,4.350794839,0.112638541,4.090144406,0.148011892,2.588918686
costa rica,10210,92,94.5,92.3,95.2,100,120,0.1,0,0.2,3.843435727,0.052279397,3.055781647,0.735374682,1.360225618
