"gni per capita, atlas method (current us$)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",active,country
700.0,60.0,84.0,1.6,1.9,0.8,0.0314468807906115,rwanda
3930.0,100.0,28.0,0.1,0.1,0.0,0.0,samoa
,100.0,90.0,54.1,66.3,47.5,0.13,sao tome and principe
23550.0,100.0,70.0,0.0,0.0,0.0,0.006640792214834,saudi arabia
1000.0,100.0,98.0,13.6,23.6,0.6,0.0270066889632107,senegal
5500.0,100.0,135.0,0.1,0.2,0.0,5.78180250107805,serbia
630.0,100.0,84.0,23.6,33.7,8.4,0.0155572270277047,sierra leone
22610.0,100.0,105.0,0.0,0.0,0.0,0.751212553495007,slovenia
1940.0,25.0,84.0,53.7,66.4,9.5,0.0009790209790209,solomon islands
6050.0,38.0,120.0,3.7,7.9,1.5,0.14594318105588,south africa
28520.0,100.0,112.0,0.0,0.0,0.0,5.73155872782618,spain
3800.0,100.0,84.0,0.2,0.0,1.0,0.0256689611159229,sri lanka
1840.0,100.0,56.0,,,,0.013703847294123,sudan
9300.0,,0.0,6.3,18.1,0.3,0.0852892561983471,suriname
57810.0,,,0.0,0.0,0.0,5.5502264623687,sweden
84180.0,59.0,98.0,0.0,0.0,0.0,2.37047718322909,switzerland
1240.0,100.0,140.0,0.1,0.1,0.0,0.0,tajikistan
5620.0,100.0,90.0,0.0,0.0,0.0,0.0095439925451648,thailand
1920.0,100.0,84.0,26.1,35.6,6.5,0.0014415781487101,timor-leste
540.0,100.0,98.0,51.7,74.2,18.0,0.0099287353545114,togo
18600.0,61.0,98.0,0.2,0.2,0.2,0.0162162162162162,trinidad and tobago
3970.0,67.0,30.0,0.7,2.1,0.0,0.303707128446537,tunisia
9950.0,67.0,112.0,0.1,0.5,0.0,0.102220046096708,turkey
7510.0,,,,,,,turkmenistan
670.0,100.0,84.0,7.2,8.1,2.2,0.0549725629085503,uganda
2620.0,100.0,126.0,,,0.0,0.363334769495907,ukraine
43170.0,100.0,45.0,0.0,0.0,0.0,0.218930251585191,united arab emirates
43340.0,90.0,14.0,0.0,0.0,0.0,5.68610184633711,united kingdom
15720.0,100.0,98.0,0.1,0.0,0.1,0.166015293118097,uruguay
2150.0,100.0,126.0,0.0,0.0,0.0,0.0027330719260256,uzbekistan
,66.0,84.0,1.9,2.2,1.3,0.0,vanuatu
1980.0,100.0,180.0,0.7,1.1,0.0,0.000500992630627,vietnam
1500.0,100.0,84.0,13.7,22.3,1.3,0.0390448215839861,zambia
850.0,100.0,98.0,27.6,40.1,1.5,0.0322142232389154,zimbabwe
