continent,country,covid_confirmed_cases,covid_deaths,covid_fatality_rate,age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hepb3 (% of one-year-old children)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)",Immunization_average,improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)","improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"maternal mortality ratio (modeled estimate, per 100,000 live births)",number of under-five deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 00-04, male (% of male population)",population ages 00-14 (% of total),"population ages 00-14, female (% of total)","population ages 00-14, male (% of total)","population ages 00-14, total","population ages 0-14, female","population ages 0-14, male","population ages 05-09, female (% of female population)","population ages 05-09, male (% of male population)","population ages 10-14, female (% of female population)","population ages 15-19, female (% of female population)","population ages 15-19, male (% of male population)",population ages 15-64 (% of total),"population ages 15-64, female","population ages 15-64, female (% of total)","population ages 15-64, male","population ages 15-64, male (% of total)","population ages 15-64, total","population ages 20-24, female (% of female population)","population ages 20-24, male (% of male population)","population ages 25-29, female (% of female population)","population ages 25-29, male (% of male population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 35-39, male (% of male population)","population ages 40-44, female (% of female population)","population ages 40-44, male (% of male population)","population ages 45-49, female (% of female population)","population ages 45-49, male (% of male population)","population ages 50-54, female (% of female population)","population ages 50-54, male (% of male population)","population ages 55-59, female (% of female population)","population ages 55-59, male (% of male population)","population ages 60-64, female (% of female population)","population ages 60-64, male (% of male population)",population ages 65 and above (% of total),"population ages 65 and above, female","population ages 65 and above, female (% of total)","population ages 65 and above, male","population ages 65 and above, male (% of total)","population ages 65 and above, total","population ages 65-69, female (% of female population)","population ages 65-69, male (% of male population)","population ages 70-74, female (% of female population)","population ages 70-74, male (% of male population)","population ages 75-79, female (% of female population)","population ages 75-79, male (% of male population)","population ages 80 and older, female (% of female population)","population ages 80 and older, male (% of male population)","population ages10-14, male (% of male population)",population growth (annual %),"population, total",rural population (% of total population),rural population growth (annual %),urban population (% of total),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetal products,fat_vegetable oils,fat_vegetables,obesity,undernourished,population,kcal_alcoholic beverages,kcal_animal products,kcal_animal fats,kcal_cereals - excluding beer,kcal_eggs,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_milk - excluding butter,kcal_miscellaneous,kcal_offals,kcal_oilcrops,kcal_pulses,kcal_spices,kcal_starchy roots,kcal_stimulants,kcal_sugar & sweeteners,kcal_treenuts,kcal_vegetal products,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal products,protein_animal fats,protein_cereals - excluding beer,protein_eggs,"protein_fish, seafood",protein_fruits - excluding wine,protein_meat,protein_milk - excluding butter,protein_offals,protein_oilcrops,protein_pulses,protein_spices,protein_starchy roots,protein_stimulants,protein_sugar & sweeteners,protein_treenuts,protein_vegetal products,protein_vegetable oils,protein_vegetables,protein_miscellaneous,gni_category
asia,lebanon,727930,9119,0.001558605,47.33769414,11.98690498,35.35078916,49884,13,7930,81,81,81,79,75,79.4,80.7,80.7,80.7,99,99,99,0.027270065,3700,100,15,835,70,0.2,0.2,0.2,7.814810313,7.947820151,23.99303815,24.178958,23.80878324,1403771,704143,699628,7.560330388,7.43113306,8.803817302,9.827986542,9.21358952,67.8712943,1968232,67.58541783,2002743,68.15461069,3970975,10.412765,9.507001632,9.877536472,8.708915243,8.637346019,7.80247532,6.780442646,6.627567739,5.511442497,5.963493979,4.923024201,6.387039229,4.355208786,6.224202654,3.857752212,4.479111828,3.401913458,3.241213546,8.135667555,239839,8.235624168,236158,8.036606071,475997,2.603620476,2.819097582,2.109426024,2.311292487,1.818032603,1.597465943,1.704545064,1.308750058,8.429830027,4.164439343,5850743,12.208,3.170159444,87.792,4.303486202,12.4024,2.1637,2.253,0.329,0.3681,0.58,5.1361,0.039,4.3553,0.0502,2.8385,0.2175,0.0836,0.1171,0.725,2.911,37.5976,27.4593,0.3736,31.3,11,6825000,0.3473,5.4012,0.6078,21.3268,0.1389,0.2779,2.0841,2.1362,2.1709,0.1563,0.0521,0.9899,1.042,0.0868,1.4415,0.3821,6.6342,1.0247,44.6162,7.5547,1.5283,0.0517,15.0004,0.0443,23.269,0.4581,1.6922,1.2266,6.9608,5.4607,0.3769,1.2636,2.8671,0.0961,0.9754,0.7389,0,1.2414,35.0107,0.0148,2.9705,0.2808,mid_gni
africa,lesotho,28408,665,0.000311472,67.26589284,6.928653802,60.33723904,29425,3.9,13410.2027,93,93,93,90,90,91.8,30.3,27.6,37.3,81.8,77,94.6,1.627138773,61,100,487,5570,84,32.5,43.4,3.6,12.80930993,13.27425422,36.07264937,35.43232673,36.72598235,770159,382048,388111,11.47436534,11.87565944,11.14865147,11.47844603,11.96347378,59.7850514,642121,59.55231037,634303,60.02252135,1276424,10.82590538,11.38028436,9.787460573,10.4768754,8.004102956,8.763170968,5.28218488,6.108301199,3.337361477,3.830238225,2.733325481,2.413191077,2.722103563,1.764897921,2.8275525,1.699037165,2.553867528,1.623051264,4.142299236,54078,5.015362899,34361,3.251496298,88439,1.92043196,1.29933051,1.17097474,0.869343048,0.979831152,0.590002602,0.944125047,0.492820137,11.5760687,1.216964474,2135022,72.688,0.500054497,27.312,3.15037158,12.96,0.529,18.3763,0.2415,0.253,0.1495,9.1881,0.046,2.4149,0.345,0.782,0.4025,0.391,0.184,0.1495,0.0345,37.0285,16.3523,0.1725,13.5,13.1,2142000,0.767,3.7037,0.0877,34.6044,0.0657,0.0877,0.4602,2.3011,0.9424,0.0877,0.2192,0.1753,1.819,0.1753,2.3011,0.0438,2.7175,0,46.3073,2.7613,0.3726,0.2653,9.5357,0.0078,32.4932,0.2107,0.4292,0.1795,5.9227,1.7948,1.1705,0.3043,4.1826,0.2107,1.9586,0.0624,0,0.0078,40.4682,0,0.7101,0.0858,high_gni
africa,liberia,6278,287,6.37E-05,82.87271056,5.50708842,77.36562214,71191,2.3,380,52,52,52,64,52,54.4,16.9,5.9,28,75.6,62.6,88.6,3.552588187,28,100,725,10509,90,47.8,68,27.3,15.36369062,15.77036693,42.30572287,41.7698352,42.83307523,1905212,932989,972223,13.96776477,14.33160263,12.43837981,10.50136481,10.67682324,54.68284453,1227681,54.96317003,1234927,54.40698389,2462608,8.627967853,8.731096861,7.634702591,7.687522441,6.706085082,6.7288015,5.602864916,5.591121665,4.614927274,4.549750088,3.758299782,3.624468289,3.079005911,2.885062307,2.494669023,2.253419362,1.94328279,1.67891814,3.011432599,72973,3.26699477,62645,2.759940876,135618,1.358229583,1.176537969,1.015381599,0.873382839,0.577173702,0.47127604,0.316209887,0.238744028,12.73110567,2.402005282,4503438,50.299,1.62370873,49.701,3.195882079,7.4228,0.4154,3.3592,0.2528,0.3702,0.1445,6.0051,0.0361,0.2438,0.1355,1.5803,0.0361,0,0.307,0.1174,0.3883,42.5772,36.4186,0.1896,8.6,37.2,5058000,0.7505,2.7908,0.0938,25.2814,0.0938,0.258,1.6886,2.0872,0.1407,0.0938,0.1173,0.5394,0.1642,0,8.0675,0.0469,1.4775,0.1173,47.1857,8.3724,0.469,0.0752,12.2556,0.0251,28.6591,0.4386,2.0677,1.2406,8.3208,0.3258,1.0902,1.6416,0.5639,0,3.8722,0.0501,0,0.1504,37.7318,0.0125,1.2406,0.1754,low_gni
europe,lithuania,519597,7387,0.002538314,50.06602969,28.28412003,21.78190967,15648,4,15000,93,94,93,94,93,93.4,92.4,82.8,97.2,96.6,90.4,99.7,0.015863899,6300,100,10,164,126,9.441721854,14.75231788,2.777124183,4.764786742,5.878256014,14.5148789,13.11766618,16.15239504,422412,205989,216422,4.20792382,5.13061785,4.144955623,4.985497355,6.195858863,66.63732171,999426,63.64468682,939853,70.14465304,1939279,6.403183178,8.094382904,5.939420474,7.390208566,5.292547798,6.411819746,5.625609642,6.369336875,6.689759298,7.328408439,6.732060019,7.190999366,8.100362808,8.38376445,7.340430669,7.10693912,6.535815577,5.672934714,18.84779939,364906,23.237647,183603,13.70295192,548508,5.133324534,3.88752226,5.619879408,3.725815701,5.245675765,2.97387643,7.238767291,3.115737527,5.143521174,-0.7588483,2910199,33.492,-0.717040951,66.508,-0.779894972,32.3048,9.388,1.7819,1.9226,1.238,0.3283,14.2134,0.0094,5.4302,0.1125,0.8441,0.2345,0.197,0.061,0.3423,0.9238,17.6975,12.7128,0.2579,28.4,2.5,2794000,3.3192,15.4409,2.6612,15.7187,0.8481,0.9651,1.1698,5.7757,5.0592,0.0439,0.1316,0.3071,1.2867,0.1608,1.3306,0.234,6.1705,0.3217,34.5518,3.5093,0.9943,0.5273,30.7649,0.2077,12.858,1.7655,3.9345,0.3915,11.2483,13.0577,0.5512,0.3435,2.2808,0.1758,0.8588,0.4194,0.004,0.2317,19.2371,0.02,1.0785,0.0439,high_gni
europe,luxembourg,103766,915,0.001606176,43.70940115,20.0926316,23.61676955,3209,4.7,77000,99,99,99,99,99,99,97.6,98.5,97.5,100,100,100,0.015479765,6500,100,10,13,112,0,0,0,5.462043576,5.745656413,16.43367248,16.06541709,16.79918486,93619,45589,48029,5.2167295,5.399574864,5.386644011,5.853200942,6.11633259,69.58491298,193754,68.27766863,202655,70.88242011,396409,6.16966672,6.545684521,6.914104674,7.124360979,7.97182251,7.800361892,7.353404485,7.511902043,7.613586081,7.871686313,7.835536912,8.642200868,7.260305492,7.689334715,6.212145348,6.414278938,5.093895467,5.166277252,13.98141454,44430,15.65691428,35219,12.31839502,79649,4.120780899,4.171951584,3.523956176,2.992112152,2.850669923,2.271138204,5.161507283,2.883193085,5.653953586,2.372590743,569676,9.84,-0.512456637,90.16,2.692559526,32.4517,6.4786,1.8437,1.6645,0.6987,0.3256,16.3118,0.0658,7.2286,0.0658,0.6402,0.0146,0.1646,0.0329,3.3838,0.128,17.5519,10.6855,0.2634,24.2,2.5,632000,5.1574,17.4063,2.3988,11.979,0.9595,0.8246,2.069,7.961,5.1574,0.2849,0.1049,0.2999,0.1049,0.1649,1.2294,2.009,4.048,0.075,32.5937,3.8681,1.3043,0.594,31.7713,0.2452,10.4804,2.3148,3.9602,0.7732,14.1577,10.6124,0.4762,0.3253,0.2357,0.165,0.8486,2.5364,0.0047,0.0471,18.2264,0.0189,1.8717,0.33,high_gni
africa,madagascar,50279,1027,4.24E-05,80.33338854,5.117531427,75.21585712,394101,4,420,69,69,69,58,71,67.2,12,8.7,18,51.5,35.3,81.6,1.669817898,60,100,353,40075,98,39.8,51.7,17.9,15.32619009,15.78775218,41.70933498,41.26631531,42.15493847,10108420,5015066,5093354,13.59187567,13.87323328,12.34824955,11.13961087,11.17184653,55.45284809,6764740,55.66345364,6674474,55.24101423,13439214,9.386938737,9.387921881,7.724022744,7.751922394,6.058053988,6.107588512,5.574170638,5.61665376,4.655922864,4.61593048,3.737675091,3.646533599,3.045710215,2.903084065,2.449310779,2.295517445,1.892037714,1.744015561,2.837816928,373123,3.070231053,314633,2.604047305,687756,1.228403457,1.070220711,0.856526028,0.704616386,0.55612108,0.460154599,0.429180488,0.369055609,12.49395301,2.776657016,24235390,64.895,1.79985523,35.105,4.60788278,19.0932,1.7454,10.0681,0.3406,0.745,1.2984,11.5581,0.0213,4.4274,0.298,1.5113,0.3193,0.2554,0.9153,0.1916,0.2129,30.9068,15.8791,0.1916,4.5,44.4,27691000,0.289,3.5208,0.1839,31.2401,0.0525,0.2627,1.4714,1.8129,1.051,0.0263,0.1314,0.2102,0.762,0.0788,7.9874,0.0788,2.207,0.0263,46.4792,1.7341,0.289,0.0931,10.7114,0.0349,31.1678,0.2212,1.7813,0.8849,5.3906,2.3169,0.978,0.1746,2.1423,0.1281,3.4696,0.3842,0,0.0466,39.2828,0,0.7219,0.0233,low_gni
africa,malawi,75075,2364,0.00013732,94.54637854,6.695107838,87.8512707,299688,3.6,350,88,88,88,87,88,87.8,41,39.8,47.3,90.2,89.1,95.7,3.452414187,29,100,634,40048,56,4.2,4.7,1.3,16.93336864,17.3811288,45.15698075,44.77373506,45.54152473,7773879,3860468,3913411,15.08284862,15.27902572,12.7575178,11.03278977,11.08786496,51.40162503,4424375,51.31393242,4424534,51.4896147,8848909,9.570246287,9.530422279,8.184852748,8.12973398,6.331699986,6.425102766,4.863809822,5.119956672,3.458467711,3.694061988,2.493919455,2.612840756,1.971869962,1.946291316,1.783877866,1.580973299,1.622398813,1.362366682,3.441394226,337328,3.91233252,255116,2.968860573,592444,1.578036437,1.262984168,1.150301937,0.884783664,0.70096035,0.503778572,0.483033797,0.317314168,12.88137021,3.06701458,17215232,83.728,2.864181484,16.272,4.117252286,18.8711,2.6263,13.0891,0.2753,0.6672,1.3767,14.6458,0.0106,0.4024,0.2542,5.6232,0.7519,0.0529,1.3555,0.0318,0.2012,31.1236,8.4189,0.2224,4.7,17.5,19130000,0.3588,4.0038,0.4344,23.3428,0.0755,0.3399,3.0784,2.9084,0.1322,0.0189,0.1322,1.3598,2.8706,0.0378,11.4259,0.0189,1.5297,0.0378,45.9868,1.322,0.5855,0.1544,8.4246,0.0956,23.98,0.2352,2.0731,1.4335,4.9548,0.2646,0.8013,3.2713,6.6676,0.0441,4.7048,0.0809,0,0.0368,41.5717,0,1.1836,0.0221,low_gni
asia,malaysia,2758086,31487,0.001038113,44.736656,8.526226077,36.21042992,259123,17.9,10570,99,99,99,93,99,97.8,96,95.9,96.1,98.2,93,100,0.08150627,1200,100,40,3793,60,0,0,0,8.335222046,8.39236478,25.01798637,25.06566054,24.97389695,7588207,3679564,3908741,8.132574293,8.067248957,8.597864199,9.165144587,9.175143645,69.09055127,10078435,68.65559214,10877425,69.49850884,20955860,10.08172571,10.42121256,9.690428893,10.2298944,8.515871852,8.887541187,6.747370245,7.014999093,6.132094338,6.044028185,5.712800139,5.415679336,5.030197182,5.015536785,4.279600571,4.140850178,3.300358633,3.153623478,5.890817113,921897,6.280080526,865141,5.527594205,1786744,2.526430866,2.318951126,1.575186316,1.408626823,1.125894916,0.949088113,1.052568427,0.850928143,8.514283213,1.424525514,30331007,25.295,-1.285987192,74.705,2.359206905,17.1723,1.4813,2.2933,2.7596,1.8599,0.1756,9.8041,0.0713,1.2289,0.0329,1.7502,0.0658,0.6584,0.0329,0,0.3731,32.8304,27.174,0.2359,15.3,2.5,32781000,0.2063,8.7831,0.4297,21.5194,1.2204,1.7532,0.9969,4.0908,1.2375,0.2922,0.0344,0.636,0.4469,0.7219,0.6875,0.0172,7.0299,0.1375,41.2169,7.5284,1.0141,0.0824,27.3712,0.0634,16.6065,3.5735,10.562,0.4055,11.3603,1.527,0.2724,0.6273,1.0518,0.9314,0.3738,0.1901,0,0.1457,22.6256,0.0063,1.7741,0.4372,mid_gni
asia,maldives,95700,262,0.000640332,47.44842249,6.931656426,40.51676607,3659,9.2,6670,99,99,99,99,99,99,97.9,98.3,97.5,98.6,97.9,99.5,0.166768374,600,100,68,67,60,0,0,0,9.805835953,10.74043001,27.47864059,26.60047438,28.35162063,112432,54259,58174,8.770478239,9.239610237,8.024160185,8.731866071,9.080590238,67.8202262,140443,68.852667,137052,66.79388267,277495,10.39825694,10.76949229,11.17380992,11.01405408,9.889679519,9.325152029,7.334105577,6.641004129,6.06872966,5.588730417,5.276628606,4.836401323,4.425506095,4.160292158,3.451376248,3.322969616,2.102708368,2.05519639,4.701133211,9275,4.546858624,9961,4.854496702,19235,1.388934856,1.388409087,1.407689338,1.356605088,1.02763528,1.136718814,0.722599151,0.972763713,8.371580385,2.015218235,409163,54.464,0.120334256,45.536,4.329823068,29.7398,4.8409,4.5092,3.2756,8.4068,0.4665,5.836,0.4561,7.3909,0,1.3683,0.0518,1.1713,0.0622,1.7207,4.9756,20.255,4.9549,0.5183,7.9,10.3,541000,0.3552,12.1226,0.9325,22.5577,0.9991,4.4183,2.1314,1.8872,3.8854,0.8215,0,0.3552,0.1776,0.6883,0.8215,0.6439,5.373,1.421,37.8996,0.9325,1.532,0.0367,30.0398,0.0612,13.4537,2.1107,18.0789,0.6363,4.9373,4.8394,0.0061,0.3793,0.312,0.6608,0.4283,0.52,0.0061,1.0523,19.9633,0.0061,1.762,0.6852,mid_gni
africa,mali,21008,660,3.75E-05,100.1835351,5.043939344,95.13959575,338853,2.2,790,68,68,68,76,76,71.2,24.7,16.1,37.5,77,64.1,96.5,3.740890877,27,100,587,82710,98,9.5,14.5,2,18.47366909,18.6981763,47.52618426,47.04935305,47.99390862,8364463,4100353,4264110,15.72707253,16.11667937,12.84861143,10.43261713,10.70145385,49.95415829,4366916,50.1080206,4424863,49.80323455,8791779,8.541797571,8.758155884,7.021155699,7.179991649,5.981775797,6.100753093,5.009773948,5.059332402,4.04332574,3.993240057,3.096154632,2.9208785,2.385816461,2.109752844,1.953952058,1.640192286,1.64165157,1.339483989,2.519657444,247735,2.842626349,195717,2.202856824,443452,1.184302382,0.90705472,0.891485535,0.684615895,0.482512687,0.375162217,0.284325744,0.236023992,13.17905296,2.96208132,17599694,60.084,1.683757231,39.916,4.917641152,17.4631,1.2195,12.0873,0.1327,0.4065,0.2987,5.6745,0.0249,9.7146,0.3152,3.3765,0.5475,0.1244,0.1327,0.0332,1.3357,32.5369,14.1945,0.3816,7.1,6.3,20251000,0.6497,5.7446,0.2223,32.9116,0.0342,0.2394,0.8719,1.7439,3.2997,0.0513,0.171,0.8548,1.59,0.1197,1.4532,0.0171,1.7781,0.359,44.2811,2.5645,1.0429,0.2414,13.6564,0.0177,27.6544,0.1178,1.325,0.4534,5.6063,5.6769,0.9069,1.2131,3.5923,0.1354,0.7479,0.1237,0.0059,0.3651,36.3465,0,1.7667,0.0471,low_gni
europe,malta,52473,476,0.001103556,50.78462835,29.02303371,21.76159464,1862,9.9,13410.2027,97,95,97,89,97,95,100,100,100,100,100,100,0.01207357,8300,82,9,24,126,0,0,0,4.305956017,4.595291996,14.43213032,14.2805485,14.58493209,62251,30922,31329,4.545757325,4.874434042,5.428835156,6.568367162,5.945437802,66.31977452,139996,64.65404855,146063,67.99890645,286059,6.935681864,6.580461975,5.125277151,7.339709155,5.354610941,7.499424449,7.897741871,7.73108357,6.847659558,6.71667562,6.30001808,6.229376103,6.627365897,6.970877139,6.686840427,6.685499962,6.310485598,6.300360678,19.24809516,45613,21.06540295,37410,17.41616146,83023,6.945673585,6.807324841,5.557775938,4.331497966,4.160362366,3.625968844,4.401591063,2.65136981,5.115206047,0.924430449,431333,4.593,-1.865287235,95.407,1.060713351,29.3856,6.6557,4.8786,1.3878,1.3074,0.2666,10.6541,0.0169,9.3298,0.0508,1.4978,0.0804,0.0804,0.0296,2.6783,1.172,20.6144,9.3975,0.5162,31,2.5,522000,1.9506,14.2031,2.0373,15.8937,0.6791,0.9392,1.5749,5.2883,5.2016,0.0867,0.0578,0.578,0.5202,0.0722,1.127,1.127,7.5278,0.4479,35.7896,2.8464,2.0517,0.2579,28.7765,0.0688,13.735,1.6073,3.6271,0.5845,13.9886,9.1968,0.2836,0.5802,1.0314,0.0774,0.7005,0.6188,0,0.3696,21.2257,0.0215,3.1501,0.0988,high_gni
africa,mauritania,41473,866,0.000212904,76.13809182,5.653954611,70.48413721,61403,2.3,13410.2027,73,73,73,70,67,71.2,40,13.8,57.5,57.9,57.1,58.4,2.744005782,36,100,602,11050,98,34.6,69,11.6,14.62858704,14.92441057,40.01640785,39.65438149,40.37383579,1627693,801329,826364,13.21992515,13.4501444,11.80586931,10.37385014,10.53722895,56.77363651,1144505,56.63670963,1164799,56.90882415,2309304,8.967514077,9.154863173,7.761001552,7.885943831,6.727590246,6.834341339,5.858867578,5.94230648,4.954267727,4.994330121,4.075449962,4.051728055,3.314507297,3.225699281,2.637838897,2.496163488,1.965822159,1.786219434,3.209955639,74949,3.708908873,55618,2.717340057,130567,1.526932877,1.175162365,1.08834051,0.791144729,0.668750677,0.467807743,0.42488481,0.28322522,11.99928082,2.437266267,4067564,40.141,0.943768668,59.859,3.45143642,17.4021,1.7485,4.3092,0.4337,0.5369,0.0895,5.7479,0.0688,8.646,0.2822,0.5025,0.3373,0,0.0207,0.1652,0,32.6014,26.9567,0.1514,11.3,10.4,4650000,0,7.3716,0.4046,26.6186,0.1583,0.3343,0.6334,2.1992,4.0816,0.1407,0.2111,0.1759,1.6538,0,0.3343,0.1056,6.3512,0,42.6284,6.0873,0.5102,0,18.4403,0.0188,25.3429,0.451,1.6348,0.2318,7.2346,7.9737,1.1275,0.3257,3.8334,0.0125,0.238,0.5951,0,0,31.5565,0.0063,0.8331,0.1441,high_gni
africa,mauritius,68480,786,0.000622522,40.61770867,13.44739219,27.17031648,6866,22.3,9610,97,97,97,99,98,97.6,93.1,92.6,93.9,99.9,99.8,99.9,0.077892962,1300,100,53,192,84,0.1,0.2,0,5.374698737,5.723386357,19.3221553,18.72290963,19.93620009,243962,119640,124323,6.137302889,6.534879246,7.210908002,7.504372481,7.90645012,71.11478685,449701,70.37545141,448198,71.87238109,897899,8.058090758,8.374612978,7.228599673,7.518752753,7.039112561,7.198640038,7.891882161,8.159455252,6.801516518,7.009880081,6.788325359,6.998589469,7.392170039,7.454825624,6.342929772,6.252136868,5.328452087,4.999037913,9.563057841,69662,10.90163896,51082,8.191418817,120744,4.206272473,3.652910672,2.631248147,2.032310234,1.843658389,1.308120813,2.220459952,1.198077097,7.677934486,0.132433083,1262605,60.329,0.369717307,39.671,-0.227337183,12.8934,1.4559,3.2471,0.7355,1.0457,0.1501,6.7594,0.1001,2.8418,0.055,1.566,0.2502,0.3452,0.025,0.9856,0.2702,37.1041,29.9945,0.1751,11.5,6.5,1265000,0.8473,7.3381,0.4157,23.1974,0.3517,0.8153,0.9273,3.2294,2.462,0.3038,0.0639,0.5755,1.4069,0.2878,0.6235,0.3997,4.6203,0.0959,42.6539,8.4732,0.9113,0.2315,21.8521,0.0508,20.5138,1.0277,4.122,0.3614,10.5364,5.7538,0.3444,0.7849,3.2693,0.367,0.4404,0.3783,0,0.1016,28.1536,0.0169,1.3326,0.3557,mid_gni
north america,mexico,3979723,299428,0.002357381,51.6816002,9.809232515,41.87236769,1151664,15.8,9710,87,82,87,97,87,88,85.2,74.5,88,96.1,92.1,97.2,0.088861104,1100,100,38,31278,84,0.8,4,0,8.901209114,9.393189428,27.60543641,26.894478,28.32375776,35063659,17168299,17895360,8.888993393,9.38963617,9.104275491,9.190936926,9.571248028,65.92757452,42245576,66.17852556,41493799,65.67402453,83739375,8.766743765,9.125957498,8.181249208,8.443097228,7.763908004,7.723971564,7.431544226,7.206841907,6.886343688,6.659963011,5.868622857,5.723612186,4.850275418,4.501090328,4.013434347,3.705293423,3.225467123,3.012949355,6.466989075,4421902,6.92699644,3792288,6.002217708,8214190,2.191343265,2.129126609,1.730620432,1.60846427,1.214013577,1.04517391,1.791019165,1.219452919,9.540932166,1.292705197,127017224,20.754,-0.023638052,79.246,1.640329232,23.7741,3.2525,6.4604,2.2807,0.4661,0.5305,13.2133,0.005,4.3433,0.2182,1.185,0.238,0.2529,0.0248,0.2033,0.7437,26.2234,16.3419,0.2429,28.4,3.6,127792000,1.196,10.2729,0.9046,21.5118,1.0733,0.4293,1.6713,5.0445,2.5912,0,0.2453,0.4446,1.5486,0.23,0.506,0.0767,6.9917,0.23,39.7117,4.4772,0.8433,0.2784,23.4422,0.0107,19.3737,2.8587,2.3287,0.9047,11.1188,5.6906,1.4186,0.6906,3.1103,0.3533,0.3051,0.0803,0.0428,0.1445,26.5578,0.0214,1.2473,0.0054,mid_gni
europe,moldova,376155,10275,0.002890987,34.57382903,13.40077644,21.1730526,20347,7.1,2220,87,88,86,89,88,87.6,76.4,67.1,87.8,88.4,81.4,96.9,0.031495426,3200,100,23,687,126,0.1,0.2,0,5.102558496,5.885495836,15.73340392,14.68161008,16.86972323,559189,270982,288207,4.976957348,5.669018063,4.602094236,5.635535187,6.311549043,74.30866399,1353572,73.3356428,1287469,75.35988024,2641041,7.709989125,8.649856661,9.887564729,11.08893842,8.294881588,9.381555623,7.224952888,7.766868675,6.400736759,6.61550756,5.971496963,5.879053654,7.73838426,7.277518471,7.240049635,6.455424445,7.232051672,5.933607688,9.957932088,221168,11.98274712,132752,7.770396537,353920,3.294592904,2.646151895,3.142726255,2.109559022,2.644675581,1.535898038,2.900752376,1.478787581,5.315209327,-0.063201891,3554150,55.005,-0.190410739,44.995,0.092527113,26.5244,6.8551,2.557,1.5517,0.6921,0.2987,9.7764,0.0656,7.5326,0.1238,0.2841,0.0291,0.0146,0.0874,0.8305,0.1093,23.472,18.8388,0.357,20.1,11.22675159,3535000,2.0672,12.299,1.7958,21.3823,0.6264,0.4803,1.1485,3.6542,5.5753,0.167,0.167,0.0835,0.1462,0.0209,1.754,0.3132,4.6356,0.0418,37.6905,4.7818,1.1693,0.3236,24.3154,0.2052,20.4719,1.8388,2.557,0.513,9.9676,9.0285,0.7182,0.1026,0.363,0.0158,1.5784,0.2525,0,0.0316,25.6886,0.0158,1.8073,0.2052,low_gni
asia,mongolia,692621,2059,0.000695812,47.64877847,5.970648213,41.67813026,34598,5.4,3830,99,99,99,98,99,98.8,59.7,42.6,66.4,64.4,59.2,66.4,0.125374056,800,100,44,1581,120,8.8,27.8,1.4,11.17082392,11.66949648,28.22788694,27.63777499,28.82993038,835301,413012,422289,9.210405688,9.60943063,7.256545379,7.575207026,7.88416388,67.72829483,1012118,67.72851527,992053,67.72806994,2004171,8.959665412,9.367343024,10.29768298,10.62604838,8.404383103,8.900372007,7.550715182,7.681331878,6.915064826,6.94414576,6.057248013,5.846012894,5.5205688,5.02505873,3.922442493,3.313992268,2.525537432,2.139601122,4.043818225,69245,4.633709745,50417,3.441999674,119662,1.624090339,1.32219703,1.287896278,1.01764181,0.878628189,0.643450561,0.843094939,0.458710272,7.551003271,1.678790766,2959134,27.96,-1.20486063,72.04,2.820776199,36.9018,5.5153,2.7445,0.593,0.0315,0.042,21.0223,0.0525,9.0628,0.6717,0.1259,0.0105,0.0052,0.042,1.6373,0.0787,13.0982,8.2231,0.1417,19.6,13.4,3361000,1.5398,20.3754,2.0038,18.7724,0.3375,0.0211,0.3375,10.5674,6.6231,0.1898,0.8015,0.0633,0.0844,0,1.2234,0.7804,2.9319,0.0422,29.6351,2.9319,0.7382,0.2367,34.0697,0.1092,13.0902,0.7768,0.1032,0.085,19.8082,9.7706,3.5016,0.091,0.1456,0.0061,0.8011,0.4005,0,0.0243,15.9303,0.0182,0.8618,0.1699,low_gni
