covid_fatality_rate,continent,country,age dependency ratio (% of working-age population),"age dependency ratio, old","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),female population 45-49,female population 80+,"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),improved water source (% of population with access),"improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"mortality rate, infant (per 1,000 live births)",number of infant deaths,number of maternal deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 15-19, female (% of female population)","population ages 20-24, female (% of female population)","population ages 25-29, female (% of female population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 40-44, female (% of female population)","population ages 60-64, female (% of female population)",population growth (annual %),"population, female (% of total)",rural population (% of total population),rural population growth (annual %),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetable oils,fat_vegetables,obesity,undernourished,kcal_alcoholic beverages,kcal_animal products,kcal_cereals - excluding beer,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_offals,kcal_spices,kcal_sugar & sweeteners,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal fats,protein_milk - excluding butter,protein_oilcrops,protein_stimulants,protein_sugar & sweeteners,protein_vegetable oils,gni_category
0.002979752,south america,brazil,44.65985467,11.34809541,1554542,10.4,6832093,1958952,9850,96,96,99,82.8,98.1,100,0.080088381,1200,100,14.6,46995,1300,120,2.1,0.2,6.967636215,8.122473007,7.784321701,8.17989548,8.441650712,8.705672947,7.78777093,6.932404667,4.093004624,0.855052949,50.82898556,14.313,-0.903992772,1.151920456,24.8515,4.3627,1.1278,0.7706,0.1886,0.2528,14.292,0,5.1654,0.0763,1.7097,0.2528,0.008,0.1204,0.1164,0.1766,21.2153,0.1204,22.3,2.5,1.4314,13.2061,14.5913,0.2309,1.7239,7.1571,0.1077,0.0154,6.326,7.2033,0.5541,0.2807,0.1266,7.0053,0.4788,0.6879,0.0165,0.022,mid_gni
0.004312488,europe,bulgaria,51.9098808,30.42372709,28704,5.9,247829,206600,7220,91,87,92,86,99.4,99.6,0.016181967,6200,90,9.3,557,7,410,0,0,4.457753427,4.204651259,4.962216919,6.364955101,6.431950334,7.35577701,6.887887844,7.127280878,7.203225128,-0.638069468,51.41944788,26.052,-1.866473132,-0.201681158,27.1456,8.0274,1.8485,1.2201,0.3404,0.2723,9.3523,0.0262,7.9698,0.2356,1.6547,0.0471,0.6179,0.0367,0.1885,0.3404,17.5787,0.2461,27.4,3.6,3.6782,12.29,17.931,0.2829,1.7683,4.3148,0.2653,1.2202,4.6508,5.252,0.8665,0.6659,0.24,8.7833,0.7619,0.588,0,0.024,mid_gni
1.76E-05,africa,burkina faso,92.17971533,4.599451915,323008,2.2,306597,25862,660,91,91,88,19.7,82.3,97.5,2.070127335,48,100,60.9,41810,2700,98,55.1,9.1,17.04685522,10.60082367,8.879475124,7.442184008,6.294585423,6.380418903,5.146866241,4.087708075,1.662695235,2.893466212,50.37894416,70.141,1.710039753,5.729782927,7.2367,0.5981,10.5524,0.4061,0.3692,0.0443,3.5741,0.0148,2.1636,0.1255,11.9406,0.5391,0.096,0.0369,0.0222,0.2658,19.1774,0.0665,4.5,20,2.5188,2.7946,31.6051,0.2574,0.1471,1.1583,0.0919,0.0552,1.765,4.2103,0.2022,1.366,0.0066,1.7666,5.7595,0.0328,0,0,low_gni
0.000357496,asia,myanmar,49.05411871,7.988812773,441302,6.8,1704474,257699,13410.2027,75,75,86,79.6,80.6,92.7,0.384770652,260,70,39.5,36176,1700,98,4.4,0.5,8.213569541,9.027279057,8.423179307,7.926966563,7.745837864,7.991552226,7.443256463,6.844490111,3.782710142,0.857130965,51.13845158,65.902,0.030534541,2.474340736,26.047,3.0066,3.8192,0.9251,2.5441,0.275,18.1335,0.0375,1.2814,0.1563,5.1194,0.6938,0.5313,0.0625,0.025,0.2688,12.7453,0.2938,5.7,10.6,0.1296,10.8663,23.4358,2.0548,1.3514,6.368,0.1481,0.3702,3.5542,3.3321,1.2403,0.0161,0.0911,3.2248,1.6285,0.3107,0.2625,0,high_gni
0.00067627,oceania,cabo verde,52.04818784,6.96497793,5238,2.3,12892,3807,3290,93,93,92,72.2,91.7,94,0.111282934,900,100,20.7,226,5,60,23.9,15.4,10.03318479,10.21029677,11.06930881,10.00436143,7.957523466,9.171932858,5.952403527,4.914003982,2.351000284,1.275336115,50.65782648,34.474,-0.6947577,2.327621356,21.9578,4.2923,5.1318,0.8468,0.5256,0.1898,9.9204,0.1679,6.2851,0.0803,1.4819,0.4526,0.9709,0.0949,0.4161,0.1752,18.6656,0.3066,10.6,12.6,1.2525,8.5288,23.8171,0.3976,1.4513,3.4394,0.0795,0.497,3.6183,4.493,1.1332,0.3173,0.0649,6.3172,0.3534,0.2885,0,0.0361,low_gni
0.000193351,asia,cambodia,55.56991959,6.4062806,173923,3,404285,48590,1070,89,89,81,42.4,75.5,100,0.472972946,210,50,24.6,8759,590,90,47.5,0,10.87640019,9.666348987,9.989341765,8.196803281,10.86577328,10.83359195,4.295112187,5.426815017,3.053518627,1.616308513,51.22478327,79.277,1.353024399,2.629963923,18.851,0.8839,9.4179,0.5639,4.8461,0.2438,11.7799,0.1372,0.6248,0.1372,8.2902,0.2743,0.5029,0.3657,0.061,0.3048,11.2313,0.2591,3.5,16.4,1.4153,4.0437,33.0166,1.7792,0.647,1.7792,0.0809,0.1415,4.1852,1.3142,0.3639,0.4817,0.0153,0.3441,4.5722,0.0535,0,0,low_gni
7.93E-05,africa,cameroon,84.2579892,5.906542513,389381,6.5,381523,58551,1330,84,84,79,45.8,75.6,94.8,2.888392618,35,100,57.1,46762,5100,98,5.8,0.8,15.88203115,10.69318221,9.494225231,8.26481047,6.789034685,6.820010548,5.251298097,4.113864972,1.703853573,2.477142121,49.99916682,45.619,1.252721936,3.515971912,6.3264,0.7838,6.9796,0.0746,0.9051,0.7931,3.3685,0.028,1.1197,0.084,9.7509,0.8491,0.7465,0.5319,0.1213,0.1026,23.2155,0.5505,9.5,9.9,1.5263,2.1669,20.5201,0.5464,3.5048,0.9987,0.0565,0.6595,1.6017,4.1455,1.3755,0.5688,0.0144,0.8063,3.8301,0.1008,0,0.0072,low_gni
0.000852677,north america,canada,47.2924045,23.76677679,178658,7.4,1205028,921716,47500,91,91,90,99.8,99.8,100,0.011328543,8800,34,4.3,1587,27,105,9.441721854,0,5.229788195,5.668705588,6.741465101,6.733581547,6.987152623,7.068574308,6.619408039,6.479430799,6.196462018,0.863130607,50.39982135,18.172,-0.111634026,1.080897426,23.1663,9.7895,1.544,1.2437,0.4244,0.4244,7.8211,0.062,3.8812,0.0065,2.36,0.1991,0.0979,0.0588,0.1795,1.211,20.4733,0.222,31.3,2.5,1.5748,12.6986,13.0279,0.5297,1.8182,4.796,0.0143,0.1432,6.199,7.9599,1.088,0.3458,0.6868,5.7905,2.416,0.6374,0.0099,0.084,high_gni
2.06E-05,africa,central african republic,75.15610362,6.753069797,76253,6.3,84355,15123,320,47,47,49,21.8,68.5,89.6,3.668342681,27,50,91.5,14981,1400,98,22.3,4.4,14.23422524,10.86139398,9.603655101,8.625489767,7.154016168,7.219081749,5.489976079,4.186439778,2.148333747,1.977644135,50.7085114,59.963,1.515086198,2.674438874,18.5453,2.8767,2.7645,0.1122,0.5509,0.4998,12.9144,0.0102,1.7342,0.3468,7.0183,0.4794,0.0102,1.0609,0.0408,0,19.4838,0.0918,6.3,59.6,0.5402,7.3927,8.9565,0.4265,1.905,4.9758,0.3412,0,1.706,4.8052,0.3128,0.2045,0.0969,1.6363,3.6064,0.3876,0.0431,0,low_gni
1.29E-05,africa,chad,100.6866607,4.918309108,281174,5.7,193778,24509,880,55,55,62,12.1,50.8,71.8,5.518801589,18,50,85,51335,5400,98,64.4,13.9,18.6001343,11.07425055,9.092838829,7.294710724,5.804261715,5.844480262,4.540563412,3.52143347,1.61950932,3.261297138,49.93706132,77.529,3.09376607,3.841473819,16.8564,3.1261,7.986,0.0701,0.648,0.0701,7.8546,0.0088,4.4308,0.7268,16.7863,0.5342,0,0.1926,0.0263,0,7.5131,0.0263,4.8,37.5,0.1436,6.9411,27.8124,0.4787,0.3112,3.0158,0.5984,0,2.0823,1.8191,0.0957,0.0567,0.0425,2.7723,6.6931,0.0142,0,0,low_gni
